id,nome científico,family,fbLink,category,criteria,assessmentYear,reassessment
133781,Paepalanthus macer Trovó,Eriocaulaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133781,CR,"B2ab(i,ii,iii,iv,v)",2015,false
133782,Paepalanthus stellatus Trovó,Eriocaulaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133782,VU,D2,2015,false
133792,Anteremanthus piranii Roque & F.A. Santana,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133792,EN,"B1ab(i,iii)+2ab(ii,iii)",2018,false
133793,Lychnophora rupestris Semir,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133793,EN,"B1ab(i,ii,iii)",2020,false
133898,Mimosa perplicata L.M. Borges,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB133898,CR,B2ab(iii),2019,false
134018,Muellera virgilioides (Vogel) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134018,VU,B1ab(iii),2018,false
134019,Muellera torrensis (N. Mattos) M.J.Silva & A.M.G.Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134019,EN,B1ab(iii),2018,false
134139,Poecilanthe fluminensis Meireles & H.C.Lima,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134139,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2022,true
134140,Ormosia altimontana Meireles & H.C.Lima,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134140,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2022,true
134195,Lychnophora candelabrum Sch. Bip.,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134195,VU,B1ab(iii),2020,false
134197,Lychnophora damazioi Beauverd,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134197,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2019,true
134212,Muellera tozziana M. J. Silva,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134212,EN,B2ab(iii),2019,false
134214,Muellera filipes (Benth.) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134214,VU,"B1ab(i,iii)",2018,false
134215,Muellera graciliflora (M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134215,CR,"B1ab(i,iii,iv,v)+2ab(ii,iii,iv,v)",2018,false
134216,Muellera grazielae (M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134216,EN,"B1ab(i,ii,iii)",2018,false
134217,Muellera laticifera (M.J. Silva et al.) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134217,EN,B2ab(iii),2020,false
134819,Callianthe latipetala (G.L.Esteves & Krapov.) Donnell,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134819,EN,"B2ab(ii,iii)",2018,false
134859,Callianthe sellowiana (Klotzsch) Donnel,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134859,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)",2017,false
134864,Callianthe bezerrae (Monteiro) Donnell,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB134864,EN,"B2ab(i,ii,iii,iv)",2020,false
135065,Muellera variabilis (RR.Silva & AMG.Azevedo) MJ.Silva & AMG.Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135065,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",2020,false
135090,"Ormosia lewisii D.B.O.S.Cardoso, C.H.Stirt. & Torke",Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135090,EN,"B1ab(i,ii,iii)+2ab(ii,iii)",2019,false
135100,Aloysia cordata Siedo,Verbenaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135100,EN,B1ab(iii),2021,false
135105,Butia exilata Deble & Marchiori,Arecaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135105,CR,C2a(i),2023,true
135167,Baccharis aracatubensis Malag.,Asteraceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135167,EN,"B1ab(ii,iii,iv)",2012,false
135427,Eriotheca saxicola Carv.-Sobr.,Malvaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135427,CR,"B1ab(i,iii)+2ab(ii,iii)",2018,false
135537,Muellera fernandesii M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135537,VU,D2,2018,false
135539,Muellera nitens M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135539,EN,"B2ab(ii,iii)",2020,false
135554,Dahlstedtia bahiana (A.M.G. Azevedo) M.J. Silva & A.M.G. Azevedo,Fabaceae,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB135554,EN,"B1ab(i,ii,iii)",2018,false
